Sliding Window,256854 D,0.9963114510000004,2020-02-02 12:28:16.225937
Monotonic Queue,901,1.6168270950000014,2020-02-02 12:28:20.364945
Sliding Window,1248,1.7175198810000003,2020-02-03 09:31:47.208119
Monotonic Queue,503,2.628217059,2020-02-03 09:31:52.579239
Sliding Window,209,2.289838767,2020-02-04 12:56:46.223418
Monotonic Queue,84,1.9625783680000009,2020-02-04 12:56:55.804148
Sliding Window,1234,0.6905691119999999,2020-02-05 08:31:16.361345
Monotonic Queue,581,0.7164637159999998,2020-02-05 08:31:18.974872
Sliding Window,567,1.3832660209999998,2020-02-05 08:32:11.532072
Monotonic Queue,85,0.8833872849999995,2020-02-05 08:32:15.592710
Sliding Window,1004,0.636344925,2020-02-05 08:34:21.873762
Monotonic Queue,42,0.579221033,2020-02-05 08:34:23.578516
Sliding Window,Task A 256854,0.5568845659999999,2020-02-05 08:55:09.114109
Monotonic Queue,739,0.647861346,2020-02-05 08:55:10.761259
Sliding Window,930,0.95091584,2020-02-05 09:06:54.609544
Sliding Window,438,0.5907550079999999,2020-02-05 09:10:47.890853
