Sliding Window,256854 D,0.9963114510000004,2020-02-02 12:28:16.225937
Monotonic Queue,901,1.6168270950000014,2020-02-02 12:28:20.364945
Sliding Window,1248,1.7175198810000003,2020-02-03 09:31:47.208119
Monotonic Queue,503,2.628217059,2020-02-03 09:31:52.579239
Sliding Window,209,2.289838767,2020-02-04 12:56:46.223418
Monotonic Queue,84,1.9625783680000009,2020-02-04 12:56:55.804148
Sliding Window,1234,0.6905691119999999,2020-02-05 08:31:16.361345
Monotonic Queue,581,0.7164637159999998,2020-02-05 08:31:18.974872
Sliding Window,567,1.3832660209999998,2020-02-05 08:32:11.532072
Monotonic Queue,85,0.8833872849999995,2020-02-05 08:32:15.592710
Sliding Window,1004,0.636344925,2020-02-05 08:34:21.873762
Monotonic Queue,42,0.579221033,2020-02-05 08:34:23.578516
Sliding Window,Task A 256854,0.5568845659999999,2020-02-05 08:55:09.114109
Monotonic Queue,739,0.647861346,2020-02-05 08:55:10.761259
Sliding Window,930,0.95091584,2020-02-05 09:06:54.609544
Sliding Window,438,0.5907550079999999,2020-02-05 09:10:47.890853
Sliding Window,904,0.9839282380000003,2020-02-05 12:40:39.270292
Monotonic Queue,239,1.0072071929999993,2020-02-05 12:40:42.133013
BFS,417,925.222239307,2020-02-05 12:40:56.549123
Sliding Window,3,0.9213654140000003,2020-02-05 15:33:54.724965
Monotonic Queue,862,0.34914887400000083,2020-02-05 15:33:57.220433
BFS,310,1.7305848949999998,2020-02-05 15:34:00.195971
Sliding Window,340,274.282951674,2020-02-11 05:52:07.028226
Monotonic Queue,496,1660.626717819,2020-02-11 06:17:56.708128
BFS,199,379.49094910099984,2020-02-11 06:55:31.430876
Sliding Window,395,2388.362124303,2020-02-19 14:08:24.095434
Monotonic Queue,221,1403.087217503,2020-02-19 14:50:07.154502
Backtracking,93,2323.673408001,2020-02-19 15:22:40.502038
Sliding Window,159,259.3939941,2020-02-21 16:26:22.720090
Sliding Window,30,3110.828874795,2020-02-21 18:52:55.011188
Sliding Window,Task C 256854,726.2111677350001,2020-02-22 11:58:53.859110
Sliding Window,713,133.394550418,2020-02-22 13:53:14.443813
Monotonic Queue,581,1460.3148371940001,2020-02-22 14:06:40.593950
Sliding Window,256854A,288.356255851,2020-02-25 12:05:20.619108
Monotonic Queue,496,1108.516579102,2020-02-25 12:10:56.296317
Backtracking,Google_Interview_2,1576.6948272940008,2020-02-25 15:40:53.285819
Binary Search,1198,1454.025906400002,2020-02-25 16:59:22.777828
Linked List,143,2166.1462312509975,2020-02-25 17:46:36.331874
Sliding Window,76,893.5650521770001,2020-02-26 10:51:44.685090
Monotonic Queue,739,365.55431260099976,2020-02-26 14:36:37.404233
Backtracking,77,377.55964631000097,2020-02-26 14:43:08.944901
Binary Search,1351,2413.3761626469986,2020-02-26 14:51:13.830418
Linked List,82,463.87371698100105,2020-02-26 16:55:12.279331
Heap Sort,973,1244.5240254700002,2020-02-26 17:12:17.731633
Union Find,990,2865.615494591002,2020-02-27 01:59:54.777988
Random,398,1891.237990916,2020-02-27 03:16:14.041360
Random,382,1.7156696530000772,2020-02-27 10:16:51.630407
Linked List,328,1726.10095998,2020-02-28 04:03:36.298406
Graph Others,797,627.3790788140001,2020-02-28 12:07:54.421891
Backtracking,60,2779.687061361,2020-02-28 16:06:01.846686
Tree Regular,Google_Interview_6,687.018857274,2020-02-29 17:25:23.878917
Backtracking,37,4226.964178223,2020-03-01 01:42:28.968847
Tree Other,1339,4798.789419896,2020-03-03 17:07:19.517381
Backtracking,52,1262.800876943,2020-03-04 09:04:34.434622
Graph Others,851,3468.676310444,2020-03-05 11:17:07.094261
Graph Others,802,1200.71491902,2020-03-05 14:38:47.566891
Union Find,684,738.9135839620003,2020-03-05 21:32:51.582517
Backtracking,22,1436.9085915790001,2020-03-06 19:27:28.223976
Heap Sort,Google_Interview_4,2133.820874034,2020-03-06 20:07:00.448981
Tree Other,98,824.0172339759999,2020-03-06 21:16:57.802296
Linked List,876,247.89431482000003,2020-03-06 21:32:43.266352
Graph Shortest Paths,542,1134.60438489,2020-03-06 21:39:39.337485
Graph Others,695,147.659665061,2020-03-07 12:59:12.602893
Recursion,119,1449.742568263,2020-03-08 22:00:57.954828
Linked List,24,697.548996217,2020-03-08 22:42:10.617924
Graph Shortest Paths,310,2309.979841607,2020-03-09 10:18:30.314403
Backtracking,22,639.328851475,2020-03-11 21:37:59.690072
Graph Shortest Paths,310,524.732362941,2020-03-11 21:52:58.382533
Binary Search,1011,35.213491531000045,2020-03-11 22:24:46.112140
Heap Sort,252,968.910348351,2020-03-14 17:43:49.148351
Sort Other,MergeSort,283.86713899999995,2020-03-14 18:02:14.770215
Backtracking,1066,960.0725861899996,2020-03-14 18:19:11.340457
Graph Shortest Paths,310,1010.1472586510001,2020-03-15 21:56:57.888014
Linked List,206,87.94237032599999,2020-03-15 22:21:44.082870
Binary Search,744,967.520393863,2020-03-17 22:01:51.776100
Random,380,0.6951789879999986,2020-03-17 22:20:52.107164
Tree Other,1361,2925.7192593669997,2020-03-18 20:46:42.439852
Binary Search,744,408.157811177,2020-03-23 08:50:02.502564
Intervals,729,2014.4017632169998,2020-03-27 14:04:28.770821
Backtracking,1087,3692.1626989680003,2020-03-27 14:38:17.947054
